步骤编号,工作状态（ON/OFF）,运行时间（min）,起始温度（℃）,终点温度（℃）,湿度控制标志（ON/OFF）,起始湿度（%）,终点湿度（%）,日照控制标志（ON/OFF）,日照控制方式（开环/闭环）,日照起始角度（°）,日照终点角度（°）,起始日照强度（W/m2）,终点日照强度（W/m2）,降雨控制标志（ON/OFF）,起始降雨量（mm/h）,终点降雨量（mm/h）,风速控制标志（ON/OFF）,起始风速（m/s）,终点风速（m/s）,降雪控制标志（ON/OFF）,起始降雪量（mm/h）,终点降雪量（mm/h）
30,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
31,ON,3.2,29.6,29.6,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,ON,40,40,ON,3.33,3.33,OFF,0.0,0.0
32,ON,720.0,27.6,27.6,OFF,50.0,50.0,ON,开环,90.0,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
33,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
34,ON,20.0,28.9,28.9,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
35,ON,20.0,28.9,28.9,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
36,ON,20.0,28.9,28.9,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
37,ON,720.0,31.8,31.8,OFF,50.0,50.0,ON,开环,90.0,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
38,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
39,ON,22.1,30.2,30.2,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
40,ON,720.0,27.7,27.7,OFF,50.0,50.0,ON,开环,90.0,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
41,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
42,ON,15.8,28.4,28.4,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
43,ON,15.8,28.4,28.4,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
44,ON,15.8,28.4,28.4,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
45,ON,720.0,28.9,28.9,OFF,50.0,50.0,ON,开环,90.0,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
46,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
47,ON,22.7,28.5,28.5,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
48,ON,720.0,28.6,28.6,OFF,50.0,50.0,ON,开环,90.0,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
49,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
50,ON,20.2,25.2,25.2,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
51,ON,20.2,25.2,25.2,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
52,ON,20.2,25.2,25.2,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
53,ON,720.0,24.9,24.9,OFF,50.0,50.0,ON,开环,90.0,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
54,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
55,ON,10.9,27.6,27.6,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
56,ON,720.0,22.5,22.5,OFF,50.0,50.0,ON,开环,90.0,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
57,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
58,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,90.0,90.0,0.0,0.0,ON,40,40,ON,3.33,3.33,OFF,0.0,0.0
